Rank,Title,Score,Episodes
215,Initial D First Stage,8.33,TV
216,Kage no Jitsuryokusha ni Naritakute!,8.33,TV
217,Kidou Senshi Gundam: The Origin,8.33,OVA
218,Major S6,8.33,TV
219,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.33,OVA
220,One Outs,8.33,TV
221,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.33,TV
222,Uchuu Senkan Yamato 2199,8.33,OVA
223,Versailles no Bara,8.33,TV
224,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.33,Special
225,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,TV
226,Kingdom 2nd Season,8.32,TV
227,Natsume Yuujinchou Go Specials,8.32,Special
228,Ookami to Koushinryou II,8.32,TV
229,Romeo no Aoi Sora,8.32,TV
230,Katanagatari,8.31,TV
231,Kemono no Souja Erin,8.31,TV
232,Natsume Yuujinchou,8.31,TV
233,NHK ni Youkoso!,8.31,TV
234,Ramayana: The Legend of Prince Rama,8.31,Movie
235,Sakamichi no Apollon,8.31,TV
236,Spy x Family Part 2,8.31,TV
237,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.31,TV
238,Boku dake ga Inai Machi,8.31,TV
239,Evangelion: 2.0 You Can (Not) Advance,8.31,Movie
240,Hunter x Hunter: Original Video Animation,8.31,OVA
241,Boku no Kokoro no Yabai Yatsu,8.30,TV
242,Detective Conan Movie 06: The Phantom of Baker Street,8.30,Movie
243,Diamond no Ace: Second Season,8.30,TV
244,Hibike! Euphonium 2,8.30,TV
245,IDOLiSH7 Third Beat! Part 2,8.30,TV
246,Kobayashi-san Chi no Maid Dragon S,8.30,TV
247,Kuroko no Basket 3rd Season,8.30,TV
248,Kino no Tabi: The Beautiful World,8.29,TV
249,Major: World Series,8.29,OVA
250,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,TV
251,Steins;Gate: Oukoubakko no Poriomania,8.29,Special
252,Tenki no Ko,8.29,Movie
253,Ashita no Joe,8.29,TV
254,Beck,8.29,TV
255,Doukyuusei (Movie),8.29,Movie
256,Dr. Stone,8.29,TV
257,Gintama: Shinyaku Benizakura-hen,8.29,Special
258,Hotarubi no Mori e,8.29,Movie
259,86,8.28,TV
260,Fate/Zero,8.28,TV
261,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.28,Movie
262,Initial D Final Stage,8.28,TV
263,Redline,8.28,Movie
264,Shinsekai yori,8.28,TV
265,Shirobako,8.28,TV
266,Kidou Senshi Gundam: Suisei no Majo Season 2,8.27,TV
267,Kono Subarashii Sekai ni Shukufuku wo! 2,8.27,TV
268,Koukaku Kidoutai,8.27,Movie
269,Nodame Cantabile,8.27,TV
270,Gin no Saji 2nd Season,8.27,TV
271,Gyakkyou Burai Kaiji: Ultimate Survivor,8.27,TV
272,Tokyo Godfathers,8.27,Movie
273,Tsubasa: Tokyo Revelations,8.27,OVA
274,World Trigger 3rd Season,8.27,TV
275,Yuru Camp△,8.27,TV
276,Yuukoku no Moriarty Part 2,8.27,TV
277,Tenkuu no Shiro Laputa,8.26,Movie
278,Naruto: Shippuuden,8.26,TV
279,Planetes,8.26,TV
280,Space☆Dandy 2nd Season,8.26,TV
281,Stranger: Mukou Hadan,8.26,Movie
282,Diamond no Ace: Act II,8.26,TV
283,Golden Kamuy 4th Season,8.26,TV
284,Hajime no Ippo: Champion Road,8.26,Special
285,Bakemono no Ko,8.25,Movie
286,Dr. Stone: Ryuusui,8.25,Special
287,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.25,Movie
288,Gyakkyou Burai Kaiji: Hakairoku-hen,8.25,TV
289,Hunter x Hunter: Greed Island Final,8.25,OVA
290,Jigokuraku,8.25,TV
291,Tonari no Totoro,8.25,Movie
292,Kuroshitsuji Movie: Book of the Atlantic,8.25,Movie
293,Non Non Biyori Movie: Vacation,8.25,Movie
294,Sennen Joyuu,8.25,Movie
295,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.25,Special
296,Sasaki to Miyano,8.24,TV
297,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.24,TV
298,Sono Bisque Doll wa Koi wo Suru,8.24,TV
299,Danshi Koukousei no Nichijou,8.24,TV
300,Detective Conan: Episode One - The Great Detective Turned Small,8.24,Special
301,Dororo,8.24,TV
302,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,8.24,TV
303,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,8.24,Movie
304,Golden Kamuy 2nd Season,8.24,TV
305,Holo no Graffiti,8.24,ONA
306,Youjo Senki Movie,8.24,Movie
307,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23,TV
308,Major S3,8.23,TV
309,Nodame Cantabile: Finale,8.23,TV
310,Re:Zero kara Hajimeru Isekai Seikatsu,8.23,TV
311,Ao Ashi,8.23,TV
312,Great Pretender,8.23,TV
313,Hajime no Ippo: Mashiba vs. Kimura,8.23,OVA
314,Bungou Stray Dogs 3rd Season,8.22,TV
315,Dr. Stone: New World,8.22,TV
316,Fruits Basket 1st Season,8.22,TV
317,Trigun,8.22,TV
318,Kono Sekai no Katasumi ni,8.22,Movie
319,Kotarou wa Hitorigurashi,8.22,ONA
320,Kuroko no Basket 2nd Season,8.22,TV
321,Magi: The Kingdom of Magic,8.22,TV
322,Majo no Takkyuubin,8.22,Movie
323,Major S1,8.22,TV
324,Mimi wo Sumaseba,8.22,Movie
325,One Piece Movie 14: Stampede,8.22,Movie
326,Ookami to Koushinryou,8.22,TV
327,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.21,Movie
328,SKET Dance,8.21,TV
329,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21,Movie
330,Detective Conan Movie 13: The Raven Chaser,8.21,Movie
331,IDOLiSH7 Third Beat!,8.21,TV
332,Kamisama Hajimemashita◎,8.21,TV
333,Tanoshii Muumin Ikka,8.21,TV
334,Tengoku Daimakyou,8.21,TV
335,xxxHOLiC◆Kei,8.21,TV
336,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.21,TV
337,Vanitas no Karte Part 2,8.20,TV
338,Lycoris Recoil,8.20,TV
339,No Game No Life: Zero,8.20,Movie
340,Nomad: Megalo Box 2,8.20,TV
341,ReLIFE: Kanketsu-hen,8.20,Special
342,Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.20,Special
343,Shoujo Kakumei Utena,8.20,TV
344,Shoujo Shuumatsu Ryokou,8.20,TV
345,Skip to Loafer,8.20,TV
346,Berserk: Ougon Jidai-hen III - Kourin,8.20,Movie
347,Black Clover: Mahou Tei no Ken,8.20,Movie
348,Hachimitsu to Clover II,8.20,TV
349,Horimiya,8.20,TV
350,InuYasha: Kanketsu-hen,8.20,TV
351,Kaguya-hime no Monogatari,8.20,Movie
352,Asobi Asobase,8.19,TV
353,Bakuman.,8.19,TV
354,Bungou Stray Dogs 2nd Season,8.19,TV
355,Fate/stay night: Unlimited Blade Works,8.19,TV
356,Haikyuu!! Movie 4: Concept no Tatakai,8.19,Movie
357,Wu Liuqi: Zui Qiang Fa Xing Shi,8.19,ONA
358,xxxHOLiC Rou,8.19,OVA
359,Yojouhan Time Machine Blues,8.19,ONA
360,Yoru wa Mijikashi Arukeyo Otome,8.19,Movie
361,Little Busters! Refrain,8.19,TV
362,Liz to Aoi Tori,8.19,Movie
363,Maison Ikkoku,8.19,TV
364,Major S2,8.19,TV
365,Major S4,8.19,TV
366,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.19,Special
367,Senki Zesshou Symphogear XV,8.19,TV
368,Stand By Me Doraemon 2,8.19,Movie
369,Non Non Biyori Repeat,8.18,TV
370,Paripi Koumei,8.18,TV
371,Quanzhi Gaoshou Specials,8.18,ONA
372,Ballroom e Youkoso,8.18,TV
373,Chihayafuru,8.18,TV
374,Girls & Panzer Movie,8.18,Movie
375,Higurashi no Naku Koro ni Kai,8.18,TV
376,Hunter x Hunter: Greed Island,8.18,OVA
377,JoJo no Kimyou na Bouken Part 6: Stone Ocean,8.18,ONA
378,Aria the Natural,8.17,TV
379,Black Lagoon: The Second Barrage,8.17,TV
380,Buddy Daddies,8.17,TV
381,Detective Conan,8.17,TV
382,Detective Conan Movie 20: The Darkest Nightmare,8.17,Movie
383,Digimon Adventure: Last Evolution Kizuna,8.17,Movie
384,Dr. Stone: Stone Wars,8.17,TV
385,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,8.17,Movie
386,Girls & Panzer: Saishuushou Part 3,8.17,Movie
387,K-On!!,8.17,TV
388,Toaru Kagaku no Railgun T,8.17,TV
389,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,8.16,Movie
390,Yuukoku no Moriarty,8.16,TV
